0,1
DB00115,DB00277
DB00277,DB00115
DB00115,DB00648
DB00648,DB00115
DB00115,DB00745
DB00745,DB00115
DB00115,DB01223
DB01223,DB00115
DB00130,DB00277
DB00277,DB00130
DB00130,DB00745
DB00745,DB00130
DB00136,DB00277
DB00277,DB00136
DB00136,DB00736
DB00736,DB00136
DB00136,DB01156
DB01156,DB00136
DB00136,DB01223
DB01223,DB00136
DB00153,DB00277
DB00277,DB00153
DB00153,DB01156
DB01156,DB00153
DB00158,DB00648
DB00648,DB00158
DB00158,DB00745
DB00745,DB00158
DB00177,DB00451
DB00451,DB00177
DB00184,DB00277
DB00277,DB00184
DB00184,DB00313
DB00313,DB00184
DB00184,DB00451
DB00451,DB00184
DB00210,DB00648
DB00648,DB00210
DB00213,DB01095
DB01095,DB00213
DB00214,DB00648
DB00648,DB00214
DB00214,DB00745
DB00745,DB00214
DB00216,DB00277
DB00277,DB00216
DB00216,DB00300
DB00300,DB00216
DB00216,DB01223
DB01223,DB00216
DB00245,DB00277
DB00277,DB00245
DB00245,DB00379
DB00379,DB00245
DB00245,DB00648
DB00648,DB00245
DB00273,DB00277
DB00277,DB00273
DB00273,DB00648
DB00648,DB00273
DB00273,DB00745
DB00745,DB00273
DB00273,DB01095
DB01095,DB00273
DB00273,DB01156
DB01156,DB00273
DB00273,DB01223
DB01223,DB00273
DB00277,DB00310
DB00310,DB00277
DB00277,DB00323
DB00323,DB00277
DB00277,DB00324
DB00324,DB00277
DB00277,DB00327
DB00327,DB00277
DB00277,DB00331
DB00331,DB00277
DB00277,DB00373
DB00373,DB00277
DB00277,DB00393
DB00393,DB00277
DB00277,DB00422
DB00422,DB00277
DB00277,DB00446
DB00446,DB00277
DB00277,DB00471
DB00471,DB00277
DB00277,DB00479
DB00479,DB00277
DB00277,DB00481
DB00481,DB00277
DB00277,DB00649
DB00649,DB00277
DB00277,DB00651
DB00651,DB00277
DB00277,DB00717
DB00717,DB00277
DB00277,DB00736
DB00736,DB00277
DB00277,DB00755
DB00755,DB00277
DB00277,DB00798
DB00798,DB00277
DB00277,DB00811
DB00811,DB00277
DB00277,DB00818
DB00818,DB00277
DB00277,DB00829
DB00829,DB00277
DB00277,DB00999
DB00999,DB00277
DB00277,DB01021
DB01021,DB00277
DB00277,DB01048
DB01048,DB00277
DB00277,DB01083
DB01083,DB00277
DB00277,DB01171
DB01171,DB00277
DB00277,DB01177
DB01177,DB00277
DB00277,DB01238
DB01238,DB00277
DB00277,DB01396
DB01396,DB00277
DB00277,DB01400
DB01400,DB00277
DB00277,DB01406
DB01406,DB00277
DB00277,DB05109
DB05109,DB00277
DB00277,DB08801
DB08801,DB00277
DB00279,DB00648
DB00648,DB00279
DB00279,DB00745
DB00745,DB00279
DB00279,DB01095
DB01095,DB00279
DB00279,DB01156
DB01156,DB00279
DB00297,DB01095
DB01095,DB00297
DB00300,DB00451
DB00451,DB00300
DB00300,DB00648
DB00648,DB00300
DB00300,DB00736
DB00736,DB00300
DB00300,DB00745
DB00745,DB00300
DB00301,DB00648
DB00648,DB00301
DB00301,DB00745
DB00745,DB00301
DB00301,DB01095
DB01095,DB00301
DB00310,DB00648
DB00648,DB00310
DB00310,DB00745
DB00745,DB00310
DB00313,DB00451
DB00451,DB00313
DB00313,DB00648
DB00648,DB00313
DB00313,DB00738
DB00738,DB00313
DB00323,DB00745
DB00745,DB00323
DB00327,DB01223
DB01223,DB00327
DB00331,DB00648
DB00648,DB00331
DB00331,DB00745
DB00745,DB00331
DB00331,DB01095
DB01095,DB00331
DB00331,DB01223
DB01223,DB00331
DB00375,DB00648
DB00648,DB00375
DB00375,DB00745
DB00745,DB00375
DB00379,DB00736
DB00736,DB00379
DB00379,DB01129
DB01129,DB00379
DB00384,DB00745
DB00745,DB00384
DB00422,DB00648
DB00648,DB00422
DB00422,DB00745
DB00745,DB00422
DB00422,DB01095
DB01095,DB00422
DB00422,DB01223
DB01223,DB00422
DB00435,DB00745
DB00745,DB00435
DB00446,DB00451
DB00451,DB00446
DB00446,DB00648
DB00648,DB00446
DB00446,DB01095
DB01095,DB00446
DB00446,DB01156
DB01156,DB00446
DB00446,DB01223
DB01223,DB00446
DB00451,DB00736
DB00736,DB00451
DB00451,DB00822
DB00822,DB00451
DB00451,DB00887
DB00887,DB00451
DB00451,DB01029
DB01029,DB00451
DB00451,DB01095
DB01095,DB00451
DB00451,DB01132
DB01132,DB00451
DB00451,DB01171
DB01171,DB00451
DB00471,DB00736
DB00736,DB00471
DB00479,DB00648
DB00648,DB00479
DB00479,DB00745
DB00745,DB00479
DB00479,DB01156
DB01156,DB00479
DB00479,DB01223
DB01223,DB00479
DB00549,DB00738
DB00738,DB00549
DB00568,DB00648
DB00648,DB00568
DB00568,DB00745
DB00745,DB00568
DB00604,DB01156
DB01156,DB00604
DB00605,DB00648
DB00648,DB00605
DB00607,DB00648
DB00648,DB00607
DB00648,DB00649
DB00649,DB00648
DB00648,DB00651
DB00651,DB00648
DB00648,DB00749
DB00749,DB00648
DB00648,DB00795
DB00795,DB00648
DB00648,DB00811
DB00811,DB00648
DB00648,DB00887
DB00887,DB00648
DB00648,DB00993
DB00993,DB00648
DB00648,DB00998
DB00998,DB00648
DB00648,DB00999
DB00999,DB00648
DB00648,DB01009
DB01009,DB00648
DB00648,DB01014
DB01014,DB00648
DB00648,DB01021
DB01021,DB00648
DB00648,DB01029
DB01029,DB00648
DB00648,DB01041
DB01041,DB00648
DB00648,DB01048
DB01048,DB00648
DB00648,DB01065
DB01065,DB00648
DB00648,DB01083
DB01083,DB00648
DB00648,DB01120
DB01120,DB00648
DB00648,DB01165
DB01165,DB00648
DB00648,DB01171
DB01171,DB00648
DB00648,DB01172
DB01172,DB00648
DB00648,DB01177
DB01177,DB00648
DB00648,DB01240
DB01240,DB00648
DB00648,DB01296
DB01296,DB00648
DB00648,DB01399
DB01399,DB00648
DB00648,DB01400
DB01400,DB00648
DB00648,DB01406
DB01406,DB00648
DB00648,DB01407
DB01407,DB00648
DB00648,DB01436
DB01436,DB00648
DB00648,DB01600
DB01600,DB00648
DB00648,DB04743
DB04743,DB00648
DB00648,DB04817
DB04817,DB00648
DB00648,DB06802
DB06802,DB00648
DB00648,DB07615
DB07615,DB00648
DB00648,DB08801
DB08801,DB00648
DB00649,DB00745
DB00745,DB00649
DB00651,DB00745
DB00745,DB00651
DB00651,DB01095
DB01095,DB00651
DB00651,DB01156
DB01156,DB00651
DB00651,DB01223
DB01223,DB00651
DB00652,DB00745
DB00745,DB00652
DB00717,DB01095
DB01095,DB00717
DB00736,DB00869
DB00869,DB00736
DB00736,DB01029
DB01029,DB00736
DB00736,DB01095
DB01095,DB00736
DB00736,DB01132
DB01132,DB00736
DB00736,DB01156
DB01156,DB00736
DB00736,DB01198
DB01198,DB00736
DB00738,DB01095
DB01095,DB00738
DB00745,DB00798
DB00798,DB00745
DB00745,DB00811
DB00811,DB00745
DB00745,DB00960
DB00960,DB00745
DB00745,DB00993
DB00993,DB00745
DB00745,DB00998
DB00998,DB00745
DB00745,DB00999
DB00999,DB00745
DB00745,DB01007
DB01007,DB00745
DB00745,DB01021
DB01021,DB00745
DB00745,DB01029
DB01029,DB00745
DB00745,DB01141
DB01141,DB00745
DB00745,DB01172
DB01172,DB00745
DB00745,DB01177
DB01177,DB00745
DB00745,DB01400
DB01400,DB00745
DB00745,DB01407
DB01407,DB00745
DB00745,DB01436
DB01436,DB00745
DB00745,DB08801
DB08801,DB00745
DB00755,DB01156
DB01156,DB00755
DB00811,DB01156
DB01156,DB00811
DB00822,DB01095
DB01095,DB00822
DB00918,DB01095
DB01095,DB00918
DB00999,DB01156
DB01156,DB00999
DB00999,DB01223
DB01223,DB00999
DB01041,DB01129
